ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
4.2.3.50	1,0	1,0	0	0	0	1,0
4.2.3.51	1,0	1,0	0	0	0	0
4.2.3.56	0	1,0	0	0	0	0
4.2.3.57	0,8	1,0	0	0	0	0
4.2.3.54	0	1,0	0	0	0	1,0
4.2.3.55	1,0	1,0	0	0	0	0
4.1.1.1	1,0	0,9375	0,96969697	0,52173913	0	0,96969697
3.5.1.52	0,42857143	1,0	0,8	0,8	0	1,0
3.5.1.53	1,0	1,0	1,0	1,0	0	1,0
2.4.1.101	1,0	1,0	1,0	1,0	0	1,0
2.2.1.1	0,94117647	1,0	0,94117647	0,875	0	1,0
2.3.1.206	0,28571429	0,28571429	0	0	0	0
2.2.1.6	0,86956522	0,86956522	0,86956522	0,81818182	0	0,86956522
2.2.1.7	1,0	1,0	1,0	1,0	0,4	1,0
2.2.1.9	1,0	1,0	1,0	1,0	1,0	1,0
2.1.1.282	1,0	1,0	1,0	0,66666667	0	0
2.1.1.280	0,66666667	1,0	0	0	0	0
6.6.1.1	1,0	1,0	1,0	1,0	0,25	1,0
2.3.1.20	0,88	0,9	0,77777778	0,84210526	0	0,91666667
2.3.1.23	0,66666667	1,0	0,66666667	0,66666667	0	1,0
1.14.19.39	0,5	0,66666667	0	0	0	0
3.1.7.10	1,0	1,0	0	0	0	1,0
3.1.7.11	0,66666667	1,0	0,4	0	0	0
1.14.14.1	0,8	0	0	0	0	0,46153846
6.1.1.12	1,0	0,8	1,0	1,0	0	0,8
6.1.1.11	1,0	1,0	1,0	1,0	0,5	1,0
6.1.1.10	1,0	1,0	1,0	1,0	0,5	0,85714286
6.1.1.17	1,0	0,85714286	1,0	1,0	0	1,0
6.1.1.16	1,0	1,0	1,0	1,0	0,33333333	1,0
2.4.2.39	0,33333333	0,72727273	0,63636364	0,83333333	0	0,625
2.4.2.38	1,0	1,0	1,0	1,0	0	1,0
6.1.1.19	1,0	1,0	1,0	1,0	0,8	1,0
6.1.1.18	1,0	1,0	1,0	1,0	0,66666667	1,0
2.4.2.30	0,91666667	1,0	1,0	0,73684211	0,66666667	0,78571428
6.1.1.9	1,0	1,0	1,0	1,0	0	0,5
6.1.1.7	1,0	1,0	1,0	1,0	0,5	1,0
6.1.1.6	1,0	1,0	1,0	1,0	0,66666667	1,0
6.1.1.5	1,0	1,0	1,0	1,0	0,66666667	1,0
6.1.1.4	1,0	1,0	1,0	1,0	0,66666667	0,8
6.1.1.3	1,0	1,0	1,0	1,0	0,5	1,0
6.1.1.2	1,0	1,0	1,0	1,0	0	1,0
6.1.1.1	1,0	1,0	1,0	1,0	0	1,0
3.6.3.3	0,44444444	0,66666667	0,92307692	0,8	0	0,72727273
3.6.3.1	1,0	1,0	1,0	1,0	0,28571429	1,0
3.6.3.6	0,80851064	0,91891892	0,92307692	0,88888889	0,1	0,88372093
3.6.3.5	0,90909091	0,6	0,92307692	0,8	0	0,72727273
3.6.3.4	0,33333333	1,0	0,66666667	0,66666667	0	1,0
3.6.3.8	0,95833333	1,0	1,0	0,97777778	0	0,89795919
2.7.1.148	1,0	1,0	1,0	1,0	0,66666667	1,0
6.4.1.2	0,95808383	0,99371069	0,9875	0,875	0,52727273	0,95757576
2.7.1.140	0	1,0	1,0	0,66666667	0	1,0
2.6.1.78	0,8	0,8	0,8	0,66666667	0	0,66666667
2.6.1.79	1,0	0,8	0,8	0,66666667	0	0,66666667
1.1.1.255	0,4	0,44444445	0	0	0	0,93333333
1.13.11.29	0,90909091	0,90909091	0	0	0	1,0
1.13.11.27	1,0	1,0	1,0	1,0	0,4	1,0
1.13.11.20	0	0	0	0	0	1,0
1.3.7.12	1,0	0,66666667	1,0	0,66666667	0	0
4.1.2.48	1,0	1,0	1,0	1,0	0	0
4.2.1.49	1,0	1,0	1,0	1,0	1,0	1,0
