EC           	PROG        	TP    	FP    	FN    	SENS        	PREC        	F1SCORE     	N     	ZSCORE         
3.5.3        	INTERPRO     	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.63839421      
3.5.3        	Blast2Go     	10     	2      	0      	1.0          	0.83333333   	0.90909091   	6      	-2.02158167     
2.8.2        	E2P2         	13     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
2.8.2        	PRIAM        	4      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
2.8.2        	KOALA        	6      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
2.8.2        	KAAS         	8      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
2.8.2        	INTERPRO     	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
2.8.2        	Blast2Go     	8      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
2.8.1        	E2P2         	40     	11     	0      	1.0          	0.78431373   	0.87912088   	6      	-1.97719357     
2.8.1        	PRIAM        	39     	0      	0      	1.0          	1.0          	1.0          	6      	0.65125571      
2.8.1        	KOALA        	38     	0      	0      	1.0          	1.0          	1.0          	6      	0.65125571      
2.8.1        	KAAS         	36     	0      	0      	1.0          	1.0          	1.0          	6      	0.65125571      
2.8.1        	INTERPRO     	12     	0      	0      	1.0          	1.0          	1.0          	6      	0.65125571      
2.8.1        	Blast2Go     	40     	5      	0      	1.0          	0.88888889   	0.94117647   	6      	-0.62782926     
5.4.4        	E2P2         	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.63500063      
5.4.4        	PRIAM        	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.63500063      
5.4.4        	KOALA        	3      	1      	0      	1.0          	0.75         	0.85714286   	6      	-0.5080005      
5.4.4        	KAAS         	3      	3      	0      	1.0          	0.5          	0.66666667   	6      	-2.03200204     
5.4.4        	INTERPRO     	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.63500063      
5.4.4        	Blast2Go     	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.63500063      
3.3.1        	E2P2         	14     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
3.3.1        	PRIAM        	12     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
3.3.1        	KOALA        	12     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
3.3.1        	KAAS         	12     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
3.3.1        	INTERPRO     	1      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
3.3.1        	Blast2Go     	12     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
4.1.1        	E2P2         	713    	7      	0      	1.0          	0.99027778   	0.99511514   	6      	-0.46957281     
4.1.1        	PRIAM        	683    	0      	0      	1.0          	1.0          	1.0          	6      	0.84473976      
4.1.1        	KOALA        	688    	1      	0      	1.0          	0.99854862   	0.99927378   	6      	0.64934418      
4.1.1        	KAAS         	548    	3      	0      	1.0          	0.99455535   	0.99727024   	6      	0.11027493      
4.1.1        	INTERPRO     	374    	0      	0      	1.0          	1.0          	1.0          	6      	0.84473976      
4.1.1        	Blast2Go     	707    	15     	0      	1.0          	0.97922438   	0.98950315   	6      	-1.97952581     
4.1.2        	E2P2         	43     	0      	0      	1.0          	1.0          	1.0          	6      	0.94918406      
4.1.2        	PRIAM        	41     	0      	0      	1.0          	1.0          	1.0          	6      	0.94918406      
4.1.2        	KOALA        	34     	3      	0      	1.0          	0.91891892   	0.95774648   	6      	-1.39744393     
4.1.2        	KAAS         	26     	2      	0      	1.0          	0.92857143   	0.96296296   	6      	-1.10773699     
4.1.2        	INTERPRO     	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.94918406      
4.1.2        	Blast2Go     	42     	2      	0      	1.0          	0.95454545   	0.97674418   	6      	-0.34237125     
4.1.3        	E2P2         	28     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.1.3        	PRIAM        	30     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.1.3        	KOALA        	27     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.1.3        	KAAS         	28     	2      	0      	1.0          	0.93333333   	0.96551724   	6      	-2.23606798     
4.1.3        	INTERPRO     	10     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.1.3        	Blast2Go     	30     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
5.4.99       	E2P2         	80     	1      	0      	1.0          	0.98765432   	0.99378882   	6      	0.55361067      
5.4.99       	PRIAM        	61     	2      	0      	1.0          	0.96825397   	0.98387097   	6      	-0.24110164     
5.4.99       	KOALA        	67     	3      	0      	1.0          	0.95714286   	0.97810219   	6      	-0.70335106     
5.4.99       	KAAS         	38     	0      	0      	1.0          	1.0          	1.0          	6      	1.05130939      
5.4.99       	INTERPRO     	6      	0      	0      	1.0          	1.0          	1.0          	6      	1.05130939      
5.4.99       	Blast2Go     	42     	3      	0      	1.0          	0.93333333   	0.96551724   	6      	-1.71177675     
3.13.1       	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.13.1       	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.13.1       	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.13.1       	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
